TimeWindow  Iteration  ResNorm(Displacements0)  
1  1  1.0000000000000000  
1  2  0.9000000007711347  
1  3  0.0000000000010787  
2  1  0.7778628322628152  
2  2  0.0000000919890500  
3  1  0.6333940964063671  
3  2  0.0000000941103649  
4  1  0.5482899477454969  
4  2  0.0000000819315100  
5  1  0.4822366588637048  
5  2  0.0000000273890694  
6  1  0.4265240950277980  
6  2  0.0000000371859909  
7  1  0.3815862609016526  
7  2  0.0000000100389579  
8  1  0.3456220859121910  
8  2  0.0000000182544051  
9  1  0.3166576098782569  
9  2  0.0000000130410141  
10  1  0.2928077554030382  
10  2  0.0000000100961073  
11  1  0.2725530052166461  
11  2  0.0000000099403552  
12  1  0.2548714413133183  
12  2  0.0000000079285879  
13  1  0.2390700313712293  
13  2  0.0000000059624593  
14  1  0.2247202430900797  
14  2  0.0000000081795842  
15  1  0.2115637876586323  
15  2  0.0000000051835209  
16  1  0.1994342283330682  
16  2  0.0000000038689198  
17  1  0.1882334123284364  
17  2  0.0000000042404970  
18  1  0.1778955884163123  
18  2  0.0000000052942692  
19  1  0.1683478037600378  
19  2  0.0000000039057290  
20  1  0.1595378048281989  
20  2  0.0000000026843774  
21  1  0.1514373757155653  
21  2  0.0000000035444106  
22  1  0.1440041070664922  
22  2  0.0000000018752091  
23  1  0.1371860587553624  
23  2  0.0000000023721851  
24  1  0.1309383668370304  
24  2  0.0000000016970477  
25  1  0.1252136460660770  
25  2  0.0000000022181146  
26  1  0.1199593254980421  
26  2  0.0000000014168203  
27  1  0.1151304647913233  
27  2  0.0000000021284832  
28  1  0.1106922505337462  
28  2  0.0000000012855847  
29  1  0.1066132406921883  
29  2  0.0000000012145824  
30  1  0.1028643423543858  
30  2  0.0000000010870817  
31  1  0.0994192633307333  
31  2  0.0000000015807133  
32  1  0.0962516737146706  
32  2  0.0000000009973604  
33  1  0.0933340905401961  
33  2  0.0000000011278982  
34  1  0.0906390032055998  
34  2  0.0000000009662127  
35  1  0.0881397985619665  
35  2  0.0000000012082031  
36  1  0.0858119384060670  
