TimeWindow  TotalIterations  Iterations  Convergence  AvgConvRate(Displacements0)  DeletedColumns  
1  3  3  1  0.0001025582448508  0  
2  5  2  1  0.0003438876319784  1  
3  7  2  1  0.0003854621353928  0  
4  9  2  1  0.0003865630485166  0  
5  11  2  1  0.0002383189230203  0  
6  13  2  1  0.0002952690278478  0  
7  15  2  1  0.0001621989177043  0  
8  17  2  1  0.0002298175016676  0  
9  19  2  1  0.0002029367576687  0  
10  21  2  1  0.0001856887923044  0  
11  23  2  1  0.0001909745364406  0  
12  25  2  1  0.0001763751253163  0  
13  27  2  1  0.0001579247303093  0  
14  29  2  1  0.0001907851276213  0  
15  31  2  1  0.0001565278999359  0  
16  33  2  1  0.0001392820057727  0  
17  35  2  1  0.0001500928565880  0  
18  37  2  1  0.0001725124419725  0  
19  39  2  1  0.0001523166311195  0  
20  41  2  1  0.0001297149339668  0  
21  43  2  1  0.0001529873335412  0  
22  45  2  1  0.0001141136005721  0  
23  47  2  1  0.0001314980463859  0  
24  49  2  1  0.0001138448951594  0  
25  51  2  1  0.0001330963534656  0  
26  53  2  1  0.0001086776834653  0  
27  55  2  1  0.0001359690264855  0  
28  57  2  1  0.0001077684745178  0  
29  59  2  1  0.0001067352606275  0  
30  61  2  1  0.0001028013155617  0  
31  63  2  1  0.0001260930874413  0  
32  65  2  1  0.0001017939392767  0  
33  67  2  1  0.0001099296366197  0  
34  69  2  1  0.0001032473247553  0  
35  71  2  1  0.0001170803301637  0  
36  73  2  1  0.0001062776991779  0  
37  75  2  1  0.0001025429477380  0  
38  77  2  1  0.0001173150146636  0  
39  79  2  1  0.0001055355684433  0  
40  81  2  1  0.0000934201814849  0  
41  83  2  1  0.0000882923977905  0  
42  85  2  1  0.0000956043607257  0  
43  87  2  1  0.0001105361180845  0  
44  89  2  1  0.0001171198621427  0  
45  91  2  1  0.0000935375536626  0  
46  93  2  1  0.0001101774587407  0  
47  95  2  1  0.0001089575402805  0  
48  97  2  1  0.0000913744591580  0  
49  99  2  1  0.0001079019765475  0  
