TimeWindow  TotalIterations  Iterations  Convergence  
1  3  3  1  
2  5  2  1  
3  7  2  1  
4  9  2  1  
5  11  2  1  
6  13  2  1  
7  15  2  1  
8  17  2  1  
9  19  2  1  
10  21  2  1  
11  23  2  1  
12  25  2  1  
13  27  2  1  
14  29  2  1  
15  31  2  1  
16  33  2  1  
17  35  2  1  
18  37  2  1  
19  39  2  1  
20  41  2  1  
21  43  2  1  
22  45  2  1  
23  47  2  1  
24  49  2  1  
25  51  2  1  
26  53  2  1  
27  55  2  1  
28  57  2  1  
29  59  2  1  
30  61  2  1  
31  63  2  1  
32  65  2  1  
33  67  2  1  
34  69  2  1  
35  71  2  1  
36  73  2  1  
37  75  2  1  
38  77  2  1  
39  79  2  1  
40  81  2  1  
41  83  2  1  
42  85  2  1  
43  87  2  1  
44  89  2  1  
45  91  2  1  
46  93  2  1  
47  95  2  1  
48  97  2  1  
49  99  2  1  
50  101  2  1  
51  103  2  1  
52  105  2  1  
53  107  2  1  
54  109  2  1  
55  111  2  1  
56  113  2  1  
57  115  2  1  
58  117  2  1  
59  119  2  1  
60  121  2  1  
61  123  2  1  
62  125  2  1  
63  127  2  1  
64  129  2  1  
65  131  2  1  
66  133  2  1  
67  135  2  1  
68  137  2  1  
69  139  2  1  
70  141  2  1  
71  143  2  1  
72  145  2  1  
73  147  2  1  
74  149  2  1  
75  151  2  1  
76  153  2  1  
77  155  2  1  
78  157  2  1  
79  159  2  1  
80  161  2  1  
81  163  2  1  
82  165  2  1  
83  167  2  1  
84  169  2  1  
85  171  2  1  
86  173  2  1  
87  175  2  1  
88  177  2  1  
89  179  2  1  
90  181  2  1  
91  183  2  1  
92  185  2  1  
93  187  2  1  
94  189  2  1  
95  191  2  1  
96  193  2  1  
97  195  2  1  
98  197  2  1  
99  199  2  1  
100  201  2  1  
101  203  2  1  
102  205  2  1  
103  207  2  1  
104  209  2  1  
105  211  2  1  
106  213  2  1  
107  215  2  1  
108  217  2  1  
109  219  2  1  
110  221  2  1  
111  223  2  1  
112  225  2  1  
113  227  2  1  
114  229  2  1  
115  231  2  1  
116  233  2  1  
117  235  2  1  
118  237  2  1  
119  239  2  1  
120  241  2  1  
121  243  2  1  
122  245  2  1  
123  247  2  1  
124  249  2  1  
125  251  2  1  
126  253  2  1  
127  255  2  1  
128  257  2  1  
129  259  2  1  
130  261  2  1  
131  263  2  1  
132  265  2  1  
133  267  2  1  
134  269  2  1  
135  271  2  1  
136  273  2  1  
137  275  2  1  
138  277  2  1  
139  279  2  1  
140  281  2  1  
141  283  2  1  
142  285  2  1  
143  287  2  1  
144  289  2  1  
145  291  2  1  
146  293  2  1  
147  295  2  1  
148  297  2  1  
149  299  2  1  
150  301  2  1  
151  303  2  1  
152  305  2  1  
153  307  2  1  
154  309  2  1  
155  311  2  1  
156  313  2  1  
157  315  2  1  
158  317  2  1  
159  319  2  1  
160  321  2  1  
161  323  2  1  
162  325  2  1  
163  327  2  1  
164  329  2  1  
165  331  2  1  
166  333  2  1  
167  335  2  1  
168  337  2  1  
169  339  2  1  
170  341  2  1  
171  343  2  1  
172  345  2  1  
173  347  2  1  
